geomaterial_id,mineral_IMA
1094,Cobalt-bearing Calcite
1095,Coalingite
1097,Cobaltpentlandite
1098,Cobaltzippeite
1099,Cobaltaustinite
1100,Coccinite
1101,Cochromite
1102,Coconinoite
1103,Coeruleolactite
1104,Coesite
1105,Cobalt-bearing Dolomite
1106,Coffinite
1107,Cohenite
1108,Colemanite
1109,Collinsite
1110,Coloradoite
1111,Colquiriite
1113,Colusite
1114,Comancheite
1115,Combeite
1116,Comblainite
1117,Compreignacite
1118,Congolite
1119,Conichalcite
1120,Connellite
1121,Cookeite
1122,Coombsite
1123,Cooperite
1124,Copiapite
1125,Coquandite
1126,Coquimbite
1127,Corderoite
1128,Cordierite
1129,Cordylite-(Ce)
1130,Corkite
1131,Cornetite
1132,Cornubite
1133,Cornwallite
1134,Coronadite
1135,Corrensite
1136,Corundum
1137,Corundophilite
1138,Corvusite
1139,Cosalite
1140,Costibite
1141,Cotunnite
1142,Coulsonite
1143,Cousinite
1144,Covellite
1145,Cowlesite
1146,Coyoteite
1147,Crandallite
1148,Crawfordite
1149,Creaseyite
1150,Crednerite
1151,Creedite
1152,Creolite
1153,Crichtonite
1154,Criddleite
1155,Cristobalite
1157,Crocoite
1158,Cronstedtite
1159,Crookesite
1160,Crossite
1161,Cryolite
1162,Cryolithionite
1163,Cryptohalite
1164,Cryptomelane
1165,Csiklovaite
1166,Cuproartinite
1167,Cualstibite
1168,Cubanite
1170,Cummingtonite
1171,Cupalite
1172,Cuprite
1173,Cuproasbolane
1174,Copper-bearing Adamite
1175,Cuproapatite
1177,Cuprobismutite
1178,Copper-bearing Boulangerite
1179,Cuprocalcite
1180,Cuprocassiterite
1181,Cuprocopiapite
1183,Copper-bearing Descloizite
1184,Cuprofaustite
1186,Cuproiridsite
1187,Cupropavonite
1188,Cuprorhodsite
1189,Cuprorivaite
1190,Copper-bearing Scheelite
1191,Cuprosklodowskite
1192,Cuprospinel
1193,Cuprostibite
1194,Cuprotungstite
1195,Curetonite
1196,Curienite
1197,Curite
1198,Cuspidine
1199,Cuzticite
1200,Cyanochroite
1201,Cyanolite
1202,Cualstibite-1M
1203,Cyanotrichite
1204,Cylindrite
1205,Cymrite
1206,Cyrilovite
1207,Chaoite
1208,Chengdeite
1209,Copper
1210,Cernyite
1211,Dansite
1212,Dachiardite Subgroup
1213,Dadsonite
1214,Dalyite
1215,Damaraite
1217,Danbaite
1218,Danburite
1219,Danielsite
1222,Daomanite
1223,Daphnite
1224,Daqingshanite-(Ce)
1225,Darapiosite
1226,Darapskite
1227,Darlingite
1229,Daubreeite
1230,Daubreelite
1231,Davanite
1232,Davidite
1233,Davidite-(Ce)
1234,Davidite-(La)
1235,Davidite-(Y)
1236,Davisonite
1237,Davreuxite
1238,Davyne
1240,Dawsonite
1241,Cobalt-bearing Malanite
1242,Deanesmithite
1243,Dechenite
1244,Deeckeite
1245,Deerite
1246,Defernite
1247,Degeroite
1248,Delafossite
1249,Delanovite
1250,Delessite
1251,Delhayelite
1252,Delindeite
1253,Dellaite
1254,Deloryite
1255,Delrioite
1256,Deltaite
1257,Delvauxite
1258,Demantoid
1259,Demesmaekerite
1260,Denhardtite
1261,Denisovite
1262,Denningite
1263,Derbylite
1264,Derriksite
1265,Dervillite
1266,Desautelsite
1267,Descloizite
1268,Desert Rose
1269,Despujolsite
1270,Devilline
1272,Deweylite
1273,Dewindtite
1274,Dhanrasite
1275,Diabantite
1276,Diaboleite
1277,Diackethyst
1278,Diaclasite
1279,Diadochite
1281,Diallage
1282,Diamond
1283,Diaoyudaoite
1284,Diaphorite
1285,Diaspore
1286,Dickinsonite-(KMnNa)
1287,Dickite
1288,Dienerite
1289,Dietrichite
1290,Dietzeite
1291,Digenite
1292,Dimorphite
1294,Diopside
1295,Dioptase
1296,Dissakisite-(Ce)
1297,Dittmarite
1298,Dixenite
1299,Djerfisherite
1300,Djurleite
1301,Dmisteinbergite
1302,Dolerophanite
1303,Dollaseite-(Ce)
1304,Dolomite
1305,Doloresite
1306,Domeykite
1307,Donathite
1308,Donharrisite
1309,Donnayite-(Y)
1310,Donpeacorite
1311,Dorallcharite
1312,Dorfmanite
1313,Dorrite
1314,Douglasite
1315,Downeyite
1316,Doyleite
1317,Dozyite
1318,Dravite
1319,Dresserite
1320,Dreyerite
1321,Drugmanite
1322,Drysdallite
1323,Dufrenite
1324,Dufrenoysite
1325,Duftite
1326,Dugganite
1327,Duhamelite
1328,Dumontite
1329,Dumortierite
1330,Dundasite
1331,Dunhamite
1332,Durangite
1333,Duranusite
1334,Dussertite
1335,Duttonite
1336,Dwornikite
1338,Dypingite
1339,Dzhalindite
1340,Datolite
1341,Danalite
1342,Dyscrasite
1343,Eakerite
1344,Earlandite
1345,Earlshannonite
1346,Ecandrewsite
1348,Eckermannite
1349,Eclarite
1350,Edenharterite
1351,Edenite
1352,Edgarbaileyite
1353,Edingtonite
1354,Edoylerite
1355,Efremovite
1356,Eggletonite
1357,Eglestonite
1358,Ehrleite
1359,Eifelite
1360,Eitelite
1361,Ekanite
1362,Ekaterinite
1363,Ecdemite
1364,Elbaite
1365,Electrum
1366,Ellenbergerite
1367,Ellestadite
1368,Ellisite
1369,Elpasolite
1370,Elpidite
1371,Elyite
1372,Bromine-bearing Chlorargyrite
1373,Embreyite
1374,Emeleusite
1375,Emerald
1376,Emildine
1377,Emmonsite
1378,Emplectite
1379,Empressite
1380,Enargite
1382,Arsenic-bearing Vanadinite
1383,Englishite
1384,Enstatite
1385,Enysite
1386,Eosphorite
1387,Ephesite
1388,Epididymite
1389,Epidote
1390,Epigenite
1391,Epistilbite
1392,Epistolite
1393,Epsomite
1394,Erdite
1396,Ericaite
1397,Ericssonite
1398,Eriochalcite
1399,Erionite Subgroup
1400,Erlianite
1401,Erlichmanite
1402,Ernienickelite
1403,Erniggliite
1404,Ernstite
1405,Ershovite
1406,Ertixiite
1407,Erythrite
1408,Erythrosiderite
1409,Eskebornite
1410,Eskimoite
1411,Eskolaite
1412,Esperite
1413,Esseneite
1414,Ettringite
1415,Eucairite
1416,Euchlorine
1417,Euchroite
1418,Euclase
1419,Eucryptite
1420,Eudialyte
1421,Eudidymite
1422,Eugenite
1423,Eugsterite
1424,Eulytine
1425,Euxenite-(Y)
1426,Evansite
1427,Eveite
1428,Evenkite
1429,Ewaldite
1430,Eylettersite
1431,Ezcurrite
1432,Eztlite
1433,Fabianite
1435,Faheyite
1436,Fahleite
1437,Tennantite-Tetrahedrite Series
1438,Fahlunite
1439,Fairbankite
